address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,dish_liked,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"647, 100 feet road, Indiranagar, Bangalore",The Brekkie Shop,Yes,No,3.7,58,Indiranagar,Delivery,Healthy Food,"Sandwiches, Poha, Fruit Parfait, Pasta",300,"['Classic Fruit Parfait', 'Apple Pie Chia Parfait', 'Peanut Butter Banana Parfatit', 'Tikka Paneer Toastie Sandwich', 'Fully Desi Toastie Sandwich', 'Seize the Morning Toastie Sandwich', 'Tandoori Chicken Toastie Sandwich', 'Toastie Sandwich Combo 1', 'Toastie Sandwich Combo 2', 'Toastie Sandwich Combo 4', 'Oats Banana Date Smoothie', 'Peanut Butter Banana', 'Cold Coffee', 'Avocado Banana Super Shake', 'Mini Breakfast Porridge- Apple Cinnamon [150 ml]', 'Meal Breakfast Porridge- Apple Cinnamon [300 ml]', 'Poha', ""Tossed Idli's with Chutney"", 'Mini Breakfast Porridge- Apple Cinnamon [150 ml]', 'Meal Breakfast Porridge- Apple Cinnamon [300 ml]', 'Dal Paratha with Pickle and Curd', 'Poha', 'Toastie Sandwich Combo 1', 'Toastie Sandwich Combo 2', 'Toastie Sandwich Combo 4', 'Veg Pasta Primavera with Garlic Bread', 'Veg Pasta Alfredo with Garlic Bread', 'Chicken Pasta Primavera with Garlic Bread', 'Chicken Pasta Alfredo with Garlic Bread', 'Tandoori Veg Bento Box', 'Tandoori Non Veg Bento Box', 'Burrito Non-Veg Bento Box', 'Burrito Veg Bento Box', 'Tikka Paneer Toastie Sandwich', 'Fully Desi Toastie Sandwich', 'Call it Classic Toastie Sandwich', 'Seize the Morning Toastie Sandwich', 'Tandoori Chicken Toastie Sandwich', 'Hummus and Grilled Chicken Sandwich', 'Classic Fruit Parfait', 'Fig and Honey Parfait (150 ml)', 'Apple Pie Chia Parfait', 'Citrus Mint Granola Parfait', 'Peanut Butter Banana Parfatit', 'Fruit Exotica Meal Parfait (300 ml)', 'Strawberry Parfait', 'Oats Banana Date Smoothie', 'Peanut Butter Banana', 'Cold Coffee', 'Choco Chunk Cookie Oats Shake', 'Avocado Banana Super Shake', 'Just Beet It Veg Boss Burger', 'Double Shot Egg and Chicken Boss Burger']",Delivery,Frazer Town
"Skywalk, 4th Floor, Near Body Craft, Assaye Road, Ulsoor, Bangalore",CAMP TANDOOR,Yes,No,3.7,15,Ulsoor,Quick Bites,North Indian,,300,"['Punjabi Rajma with Rice Combo', 'Punjabi Chole Combo', 'Punjabi Chole with Makki Roti Combo', 'Kadi Pakoda with Rice Combo', 'Punjabi Rajma with Rice Combo', 'Dal Tadka with Rice Combo', 'Paneer Butter Masala with Rice Combo', 'Paneer Tikka Masala with Rice Combo', 'Paneer Curry Combo', 'Butter Chicken with Rice Combo', 'Chicken Tikka Masala with Rice Combo', 'Chicken Curry Combo', 'Veg Platter', 'Paneer Achari Tikka', 'Basil Paneer Tikka', 'Paneer Tikka', 'Mushroom Tikka', 'Tandoori Gobi', 'Achari Baby Corn Tikka', 'Potato Chilly', 'Tandoori Aloo', 'French Fries', 'Cheesy Fries', 'Masala Fries', 'Assorted Veg Platter', 'Egg Bhurji', 'Chicken Tandoori', 'Chicken Kasturi Kebab', 'Chicken Haryali Kebab', 'Chicken Lasooni Tikka', 'Chicken Achari Tikka', 'Chicken Malai Tikka', 'Basil Chicken Tikka', 'Chicken Tikka', 'Chicken Fry Kebab', 'Chicken Platter', 'Assorted Chicken Platter', 'Fish Tikka', 'Paneer Tikka Masala', 'Paneer Kadai', 'Palak Paneer', 'Matar Paneer', 'Paneer Jalfrezi', 'Paneer Butter Masala', 'Malai Kofta', 'Sarson ka Saag', 'Baigan Bhartha', 'Mushroom Masala', 'Veg Kofta', 'Rajma Masala', 'Veg Jalfrezi', 'Chana Masala', 'Veg Kadhai', 'Mix Veg', 'Aloo Gobi Dry', 'Aloo Matar', 'Bhindi Fry', 'Bhindi Masala', 'Veg Kolhapuri', 'Dal Kolhapuri', 'Dal Makhni', 'Dal Tadka', 'Punjabi Kadhi Pakora', 'Egg Curry', 'Chicken Tikka Masala', 'Chicken Punjabi', 'Chicken Kadai', 'Butter Chicken', 'Chicken Do Pyaza', 'Chicken Kolhapuri', 'Mutton Keema Masala', 'Mutton Masala', 'Mutton Saagwala', 'Fish Curry', 'Prawn Masala', 'Lal Mirch Paratha', 'Pudina Paratha', 'Gobi Paratha', 'Onion Paratha', 'Aloo Paratha', 'Cheese Paratha', 'Paneer Paratha', 'Spring Onion Cheese Paratha', 'Egg Paratha', 'Chicken Keema Paratha', 'Mutton Keema Paratha', 'Phulka', 'Plain Roti', 'Butter Roti', 'Kulcha', 'Naan', 'Butter Kulcha', 'Lachha Paratha', 'Butter Naan', 'Butter Garlic Kulcha', 'Makki ki Roti', 'Butter Garlic Naan', 'Cheese Butter Garlic Naan', 'Plain Rice', 'Curd Rice', 'Jeera Rice', 'Ghee Rice', 'Veg Pulao', 'Dal Khichdi', 'Veg Biryani', 'Paneer Tikka Biryani', 'Aloo Dum Biryani', 'Paneer Makhni Biryani', 'Mushroom Masala Biryani', 'Vegetable Biryani', 'Achari Paneer Biryani', 'Biryani Rice', 'Egg Biryani', 'Boneless Chicken Biryani', 'Achari Chicken Biryani', 'Chicken Biryani', 'Chicken Punjabi Biryani', 'Mutton Biryani', 'Mutton Masala Biryani', 'Fish Masala Biryani', 'Prawn Masala Biryani', 'Onion Salad', 'Papad', 'Kachumber Salad', 'Masala Papad', 'Curd', 'Boondi Raita', 'Mix Raita', 'Green Salad', 'Kulfi', 'Ice Cream', 'Gajar Halwa', 'Gajar Halwa with Ice Cream', 'Gulab Jamun', 'Gulab Jamun with Ice Cream', 'Kesariya Badam Kheer', 'Sweet Punjabi Lassi', 'Salted Punjabi Lassi', 'Mango Lassi', 'Strawberry Lassi', 'Kesar Lassi', 'Rose Lassi', 'Chocolate Lassi', 'Vanilla Milkshake', 'Chocolate Milkshake', 'Strawberry Milkshake', 'Oreo Milkshake', 'Lemon Iced Tea', 'Peach Iced Tea', 'Fresh Lime Soda', 'Butter Milk', 'Shikanji', 'Jaljeera', 'Soft Beverage', 'Bisleri [1liter]']",Delivery,Frazer Town
"Shop 15, St.Johns Church Road, Cleveland Town, Frazer Town, Bangalore",Masala Central,Yes,No,3.7,75,Frazer Town,Quick Bites,North Indian,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",300,"['2 Egg Paratha', 'Butter Roti', 'Dal Makhani Combo', 'Dal Fry Combo', 'Rajma Combo', 'Paneer Butter Masala Combo', 'Kadai Paneer Combo', 'Chilli Paneer Combo', 'Butter Chicken Combo', 'Kadai Chicken Combo', 'Chicken Curry Combo', 'Chilli Chicken Combo', 'Veg Regular Indian Thali', 'Veg Deluxe Indian Thali', 'Chicken Regular Indian Thali', 'Chicken Deluxe Indian Thali', 'Dal Makhani Combo', 'Dal Fry Combo', 'Chole Combo', 'Rajma Combo', 'Paneer Butter Masala Combo', 'Matar Paneer Combo', 'Kadai Paneer Combo', 'Mushroom Kadai Combo', 'Mushroom Matar Combo', 'Shahi Paneer Combo', 'Paneer Lababdar Combo', 'Aloo Matar Combo', 'Aloo Tamatar Ki Sabji Combo', 'Chilli Paneer Combo', 'Chilli Mushroom Combo', 'Veg Balls Manchurian Combo', 'Paneer Manchurian Combo', 'Mushroom Manchurian Combo', 'Paneer Schezwan Combo', 'Mushroom Schezwan Combo', 'Egg Curry Combo', 'Butter Chicken Combo', 'Kadai Chicken Combo', 'Chicken Curry Combo', 'Chilli Chicken Combo', 'Chicken Manchurian Combo', 'Chicken 65 Combo', 'Schezwan Chicken Combo', 'Lemon Chicken Combo', 'Veg Regular Indian Thali', 'Veg Deluxe Indian Thali', 'Chicken Regular Indian Thali', 'Chicken Deluxe Indian Thali', 'Veg Regular Chinese Thali', 'Veg Deluxe Chinese Thali', 'Chicken Regular Chinese Thali', 'Chicken Deluxe Chinese Thali', 'Veg Clearwater Soup', 'Veg Sweet Corn Soup', 'Veg Manchow Soup', 'Veg Hot and Sour Soup', 'Tomato Soup', 'Chicken Clearwater Soup', 'Chicken Sweet Corn Soup', 'Chicken Manchow Soup', 'Chicken Hot and Sour Soup', 'Paneer Manchurian', 'Baby Corn Manchurian', 'Mushroom Manchurian', 'Veg Balls Manchurian', 'Gobi Manchurian', 'Paneer 65', 'Baby Corn 65', 'Mushroom 65', 'Gobi 65', 'Paneer Chilli', 'Baby Corn Chilli', 'Mushroom Chilli', 'Gobi Chilli', 'Paneer Pepper Dry', 'Baby Corn Pepper Dry', 'Mushroom Pepper Dry', 'Gobi Pepper Dry', 'Chicken Manchurian', 'Chicken Chilli', 'Chicken 65', 'Chicken Pepper Dry', 'Chicken Kabab', 'Lemon Chicken', 'Ginger Spring Onion Chicken', 'Garlic Ginger Chicken', 'Chicken Lollipop', 'Crispy Spicy Chicken', 'Chicken Pakoda', 'Butter Paneer', 'Kadai Paneer', 'Paneer Do Pyaza', 'Kasturi Paneer', 'Paneer Lababdar', 'Paneer Bhurji', 'Dilli Wale Rajma', 'Dilli Wale Chole', 'Shahi Paneer', 'Matar Paneer', 'Methi Malai Paneer', 'Mushroom Masala', 'Matar Mushroom', 'Kadai Mushroom', 'Butter Mushroom', 'Aloo Jeera', 'Aloo Matar', 'Bhindi Masala', 'Bhindi Do Pyaza', 'Mixed Veg', 'Aloo Gobi Masala', 'Dal Fry', 'Dal Makhani', 'Dal Tadka', 'Egg Curry', 'Egg Masala', 'Egg Bhurji', 'Butter Chicken', 'Kadai Chicken', 'Chicken Curry', 'Chicken Masala', 'Chicken Kolhapuri', 'Kasturi Chicken', 'Chicken Kasa', 'Chicken Do Pyaza', 'Chicken Lababdar', 'Chicken Malai Methi', 'Chicken Kali Mirch', 'Chicken Hyderabadi', 'Paneer Manchurian Gravy', 'Baby Corn Manchurian Gravy', 'Mushroom Manchurian Gravy', 'Veg Balls Manchurian Gravy', 'Gobi Manchurian Gravy', 'Paneer 65 Gravy', 'Baby Corn 65 Gravy', 'Mushroom 65 Gravy', 'Gobi 65 Gravy', 'Paneer Chilli Gravy', 'Baby Corn Chilli Gravy', 'Mushroom Chilli Gravy', 'Gobi Chilli Gravy', 'Paneer Pepper Gravy', 'Baby Corn Pepper Gravy', 'Mushroom Pepper Gravy', 'Gobi Pepper Gravy', 'Schezwan Paneer Gravy', 'Chicken Manchurian Gravy', 'Chicken Chilli Gravy', 'Chicken 65 Gravy', 'Chicken Pepper Gravy', 'Garlic Ginger Chicken Gravy', 'Lemon Chicken Gravy', 'Schezwan Chicken Gravy', '2 Tawa Paratha', '2 Lachha Paratha', '2 Onion Paratha', '2 Aloo Paratha', '2 Aloo Onion Paratha', '2 Gobi Paratha', '2 Methi Paratha', '2 Paneer Paratha', '2 Onion Cheese Paratha', '2 Mixed Veg Paratha', '2 Aloo Cheese Paratha', '2 Peas Paratha', '2 Egg Paratha', '2 Chicken Paratha', 'Phulka', 'Butter Roti', 'Ghee Roti', 'Tawa Paratha', 'Lachha Paratha', 'Onion Paratha', 'Aloo Paratha', 'Aloo Onion Paratha', 'Gobi Paratha', 'Methi Paratha', 'Paneer Paratha', 'Mixed Veg Paratha', 'Onion Cheese Paratha', 'Peas Paratha', 'Aloo Cheese Paratha', 'Jeera Rice', 'Ghee Rice', 'Steamed Rice', 'Peas Pulao', 'Veg Pulao', 'Special Veg Dum Biryani', 'Special Egg Biryani', 'Kolkata Style Boneless Chicken Biryani', 'Veg Fried Rice', 'Paneer Chilli Garlic Fried Rice', 'Veg Schezwan Fried Rice', 'Gobhi Chilli Garlic Fried Rice', 'Mushroom Chilli Garlic Fried Rice', 'Paneer Fried Rice', 'Veg Chilli Garlic Fried Rice', 'Mushroom Schezwan Fried Rice', 'Paneer Schezwan Fried Rice', 'Gobi Schezwan Fried Rice', 'Mushroom Fried Rice', 'Gobi Fried Rice', 'Egg Fried Rice', 'Egg Schezwan Fried Rice', 'Chicken Egg Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Chilli Garlic Fried Rice', 'Veg Noodles', 'Veg Chilli Garlic Noodles', 'Mushroom Chilli Garlic Noodles', 'Paneer Chilli Garlic Noodles', 'Gobi Chilli Garlic Noodles', 'Veg Schezwan Noodles', 'Mushroom Schezwan Noodles', 'Paneer Schezwan Noodles', 'Gobi Schezwan Noodles', 'Mushroom Noodles', 'Paneer Noodles', 'Gobi Noodles', 'Egg Schezwan Noodles', 'Egg Noodles', 'Chicken Noodles', 'Chicken Egg Noodles', 'Chicken Chilli Garlic Noodles', 'Chicken Schezwan Noodles', 'Veg Grilled Sandwich [4 Pieces]', 'Aloo Cheese Masala Sandwich [4 Pieces]', 'Chilli Cheese Sandwich [4 Pieces]', 'Mushroom Cheese Sandwich [4 Pieces]', 'Paneer Veggies Sandwich [4 Pieces]', 'Butter Chutney Sandwich [4 Pieces]', 'Tomato Cheese Pepper Sandwich [4 Pieces]', 'Boiled Egg Cheese Sandwich [4 Pieces]', 'Barbecue Chicken Grilled Sandwich [4 Pieces]', 'Herb Chicken Grilled Sandwich [4 Pieces]', 'Plain Maggi', 'Veg Masala Maggi', 'Butter Pepper Maggi', 'Chilli Cheese Maggi', 'Single Fry Maggi', 'Spicy Egg Maggi', 'Spicy Chicken Maggi', 'Barbecue Chicken Maggi', 'Chole Poori', 'Spicy Aloo Poori', 'Butter Pav Bhaji', 'Cheese Pav Bhaji', 'Paneer Pav Bhaji', 'French Fries', 'Mexican Fries', 'Egg Bhurji Pav', 'Plain Omelette', 'Veg Masala Omelette', 'Gulab Jamun [2 Pieces]', 'Vanilla Ice Cream [2 Scoops]', 'Chocolate Ice Cream [2 Scoops]', 'Peanut Butter Chocolate Hazelnut Sandwich [4 Pieces]', 'Ice Cream Cold Coffee', 'Choco Frappe', 'Choco Hazelnut Coffee', 'Oreo Shake', 'Dark Fantasy Shake', 'Galaxy Shake', 'Kit Kat Shake', 'Snickers Shake', 'Peanut Butter Chocolate Shake', 'Vanilla Shake', 'Strawberry Shake', 'Mango Shake', 'Chocolate Shake']",Dine-out,Frazer Town
"Skywalk, 4th Floor, Near Body Craft, Assaye Road, Ulsoor, Bangalore",CAMP TANDOOR,Yes,No,3.7,15,Ulsoor,Quick Bites,North Indian,,300,,Dine-out,Frazer Town
"5/1, Assaye Road, Doddigunta, Ulsoor, Bangalore",Shawarma Time,Yes,No,3.7,80,Ulsoor,Quick Bites,Arabian,,300,,Dine-out,Frazer Town
"11, 1st Main, 1st Cross, Jakkasandra Extention, Koramangala 1st Block, Bangalore",Lucknowi Dabba,Yes,No,3.7,21,Koramangala 1st Block,Delivery,Mughlai,,300,,Delivery,HSR
"206, 7th Cross Road, Teacher's Colony, Sector 5, HSR, Bangalore",Nandhanam Restaurant,Yes,No,3.7,7,HSR,Quick Bites,South Indian,,300,,Delivery,HSR
"8th Cross Road, Venkatapura, Teachers Colony, 1st Block, Koramangala 1st Block, Bangalore",New Mangalore Lunch Home,Yes,No,3.7,36,Koramangala 1st Block,Quick Bites,Mangalorean,,300,,Delivery,HSR
"1/44, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Bharat Kitchen,Yes,No,3.7,21,Koramangala 1st Block,Quick Bites,Bengali,,300,,Delivery,HSR
"Opposite La Casa Hotel, Jayaramreddy Layout, Kasavanhalli, Central Jail Road, Sarjapur Road, Bangalore",Shekhawati Restaurant,Yes,No,3.7,63,Sarjapur Road,Quick Bites,North Indian,,300,,Delivery,HSR
"2719, 16th Cross, 31st Main, Near NIFT, 1st Sector, HSR, Bangalore",Dessi Cuppa,Yes,No,3.7,35,HSR,"Quick Bites, Beverage Shop",Beverages,,300,,Delivery,HSR
"2724, 31st Main, 17th Cross, Sector 1, HSR, Bangalore",Foodzoo,Yes,No,3.7,122,HSR,Quick Bites,North Indian,"Paratha, Puri Sabzi, Tea, Chole",300,,Delivery,HSR
"14th Main, 4th Sector, HSR, Bangalore",SGS Non Veg - Gundu Pulav,Yes,No,3.7,9,HSR,"Takeaway, Delivery",South Indian,,300,,Delivery,HSR
"Near Dayananda Sagar College, Teachers Colony, Kumaraswamy Layout, Bangalore",Mr. Singh Da Dhaba,Yes,No,3.6,241,Kumaraswamy Layout,Quick Bites,North Indian,"Mughlai Paratha, Laccha Paratha, Rolls",300,,Delivery,Banashankari
"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",Al-Bek,Yes,No,3.6,208,JP Nagar,"Takeaway, Delivery",Biryani,"Chicken Grill, Biryani",300,"['Veg Schezwan Noodles', 'Egg Schezwan Fried Rice', 'Chicken Schezwan Fried Rice', 'Egg Schezwan Noodles', 'Chicken Schezwan Noodles', 'Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Noodles', 'Egg Fried Rice', 'Chicken Fried Rice', 'Egg Noodles', 'Roomali Roti', 'Tandoori Roti', 'Plain Naan', 'Butter Naan', 'Kulcha', 'Jeera Rice', 'Chicken Biriyani', 'Mutton Sheek Kabab (full)', 'Mutton Sheek Kabab (half)', 'Green Salad', 'Cucumber Salad', 'Onion Salad', 'Pahadi Kabab (full)', 'Pahadi Kabab (half)', 'Kalmi Kabab (full)', 'Kalmi Kabab (half)', 'Pepper Roast (full)', 'Chicken Roast (half)', 'Anari Tikka (full)', 'Anari Tikka (half)', 'Achari Tikka (full)', 'Achari Tikka (half)', 'Tandoori Kabab (full)', 'Tandoori Kabab (half)', 'Chicken Chops (full)', 'Chicken Chops (half)', 'Cheese Malai Tikka(full)', 'Cheese Malai Tikka(half)', 'Chatkara Chicken (full)', 'Chatkara Chicken (half)', 'Chicken Kabab (full)', 'Chicken Kabab (half)', 'Chicken Lollipop (full)', 'Chicken Lollipop (half)', 'Chicken Sholay Kabab (full)', 'Chicken Sholay Kabab (half)', 'Chilli Chicken Bone (full)', 'Chilli Chicken Bone (half)', 'Pepper Chicken Bone (full)', 'Pepper Chicken Bone (half)', 'Andhra Chilli Chicken Bone (full)', 'Andhra Chilli Chicken Bone (half)', 'Ginger Chicken Bone (full)', 'Ginger Chicken Bone (half)', 'Garlic Chicken Bone (full)', 'Garlic Chicken Bone (half)', 'Chicken Manchurian Bone (full)', 'Chicken Manchurian Bone (half)', 'Chicken 65 Bone (full)', 'Chicken 65 Bone (half)', 'Lemon Chicken With Bone (full)', 'Lemon Chicken With Bone (half)', 'Chilli Chicken Boneless (full)', 'Chilli Chicken Boneless (half)', 'Pepper Chicken Boneless (full)', 'Pepper Chicken Boneless (half)', 'Andhra Chilli Chicken Boneless (full)', 'Andhra Chilli Chicken Boneless (half)', 'Ginger Chicken Boneless (full)', 'Ginger Chicken Boneless (half)', 'Garlic Chicken Boneless (full)', 'Garlic Chicken Boneless (half)', 'Chicken Manchurian Boneless (full)', 'Chicken Manchurian Boneless (half)', 'Chicken 65 Boneless (full)', 'Chicken 65 Boneless (half)', 'Lemon Chicken With Boneless (full)', 'Lemon Chicken With Boneless (half)', 'Chicken Hyderabadi (full)', 'Chicken Hyderabadi (half)', 'Chicken Banjara (full)', 'Chicken Banjara (half)', 'Chicken Kolhapuri (full)', 'Chicken Kolhapuri (half)', 'Chicken Kalimirch (full)', 'Chicken Kalimirch (half)', 'Chicken Chettinad (full)', 'Chicken Chettinad (half)', 'Butter Chicken (full)', 'Butter Chicken (half)', 'Chicken Masala (full)', 'Chicken Masala (half)', 'Chicken Kadai (full)', 'Chicken Kadai (half)', 'Chicken Mughlai (full)', 'Chicken Mughlai (half)', 'Chicken Dopiyaza (full)', 'Chicken Dopiyaza (half)', 'Murg Musallam (full)', 'Murg Musallam (half)', 'Chicken Punjabi (full)', 'Chicken Punjabi (half)', 'Chicken Hyderabadi Boneless (full)', 'Chicken Hyderabadi Boneless (half)', 'Chicken Banjara Boneless (full)', 'Chicken Banjara Boneless (half)', 'Chicken Kolhapuri Boneless (full)', 'Chicken Kolhapuri Boneless (half)', 'Chicken Kalimirch Boneless (full)', 'Chicken Kalimirch Boneless (half)', 'Chicken Chettinad Boneless (full)', 'Chicken Chettinad Boneless (half)', 'Butter Chicken Boneless (full)', 'Butter Chicken Boneless (half)', 'Chicken Masala Boneless (full)', 'Chicken Masala Boneless (half)', 'Chicken Kadai Boneless (full)', 'Chicken Kadai Boneless (half)', 'Chicken Mughlai Boneless(full)', 'Chicken Mughlai Boneless(half)', 'Chicken Dopiyaza Boneless (full)', 'Chicken Dopiyaza Boneless (half)', 'Murg Musallam Boneless (full)', 'Murg Musallam Boneless (half)', 'Chicken Punjabi Boneless (full)', 'Chicken Punjabi Boneless (half)', 'Paneer Chilli Dry (full)', 'Paneer Chilli Dry (half)', 'Paneer Manchurian Dry (full)', 'Paneer Manchurian Dry (half)', 'Dal Fry (full)', 'Dal Fry (half)', 'Paneer Butter Masala (full)', 'Paneer Butter Masala (half)', 'Shahi Paneer (full)', 'Shahi Paneer (half)', 'Veg Kadai (full)', 'Veg Kadai (half)', 'Mutton Hyderabadi (full)', 'Mutton Hyderabadi (half)', 'Mutton Chettinad (full)', 'Mutton Chettinad (half)', 'Mutton Kolhapuri (full)', 'Mutton Kolhapuri (half)', 'Lamb Chops Noorani (full)', 'Lamb Chops Noorani (half)', 'Mutton Masala (full)', 'Mutton Masala (half)', 'Mutton Korma (full)', 'Mutton Korma (half)', 'Mutton Rogan Ghosh (full)', 'Mutton Rogan Ghosh (half)', 'Mutton Stew (full)', 'Mutton Stew (half)', 'Mutton Dopiyaza (full)', 'Mutton Dopiyaza (half)', 'Mutton Punjabi (full)', 'Mutton Punjabi (half)', 'Mutton Banjara (full)', 'Mutton Banjara (half)', 'Mutton Raziyala (full)', 'Mutton Raziyala (half)', 'Fish Chilli (full)', 'Fish Chilli (half)', 'Prawns Pepper Dry (full)', 'Prawns Pepper Dry (half)', 'Prawns Chilly (full)', 'Prawns Chilly (half)', 'Fish Kabab (full)', 'Fish Kabab (half)', 'Fish Manchurian (full)', 'Fish Manchurian (half)', 'Prawns Manchurian (full)', 'Prawns Manchurian (half)', 'Fish Hyderabadi (full)', 'Fish Hyderabadi (half)', 'Fish Chettinad (full)', 'Fish Chettinad (half)', 'Fish Masala (full)', 'Fish Masala (half)', 'Fish Kadai (full)', 'Fish Kadai (half)']",Delivery,Bannerghatta Road
"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore",Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.6,43,JP Nagar,Quick Bites,Bohri,"Fruit Custard, Russian Cutlet",300,"['Caramel Custard', 'Smoked Chicken Kheema Samosa [2 Pieces]', 'Bohri Chicken Biryani with Raita', 'Mini Chicken Bohri Biryani', 'Biryani Combo Meal', 'Bohri Non Veg Meal', 'Biryani Rice', 'Anda Bhurji Pav', 'Egg Bohri Biryani', 'Mini Egg Bohri Biryani', 'Chicken Kheema Pav', 'Chicken Kheema Gotala with Pav', 'Chicken Kheema Khichdi', 'Bohri Chicken Biryani with Raita', 'Mini Chicken Bohri Biryani', 'Kofta Chicken Biryani', 'Chicken Tikka Biryani', 'Bohri Mutton Haleem', 'Mutton Kheema Pav', 'Mutton Kheema Khichdi', 'Bohri Mutton Biryani with Raita', 'Mutton Kheema Gotala with Pav', 'Roti', 'Pav', 'Smoked Dal Samosas [2 Pieces]', 'Veg Russian Cutlets [2 Pieces]', 'Smoked Chicken Kheema Samosa [2 Pieces]', 'Nargesi Kebab', 'Chicken Russian Cutlets [2 Pieces]', 'Shahi Roll', 'Chicken Kandi Tikka', 'Hungama Kabab [2 Pieces]', 'Bohri Fried Chicken', 'Raita', 'Imli Chutney', 'Pudina Chutney', 'Caramel Custard', 'Fruit Custard', 'Gol Pani', 'Jaljeer Water', 'BBC Buttermilk', 'BBC Lassi', 'Lime Water Sweet and Salt', 'Tea', 'Coffee']",Delivery,Bannerghatta Road
"Survey # 81/4A, Cave Temple Road, Opposite Meenakshi Mall, Bannerghatta Road, Bangalore",Just Shawarma,Yes,No,3.6,137,Bannerghatta Road,Quick Bites,Arabian,"Fries, Whole Meat Shawarma",300,,Delivery,Bannerghatta Road
"Big Bazar Compound, Opposite Central Mall, 9th Block, Jayanagar, Bangalore",Sri Sai 99 Variety Dosa,Yes,No,3.6,37,Jayanagar,Quick Bites,South Indian,,300,,Delivery,Basavanagudi
"15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore",AKSHAYA BIRYANI,Yes,No,3.6,20,Sarjapur Road,Quick Bites,Biryani,,300,"['Andhra Chilli Chicken', 'Veg Biryani', 'Egg Biryani', 'Chicken Biryani', 'Mutton Biryani', 'Veg Biryani', 'Egg Biryani', 'Chicken Biryani', 'Mutton Biryani', 'Stuffed Mushroom', 'Gobi Manchurian', 'Chilli Mushroom', 'Chicken Lollipop', 'Chilli Chicken', 'Andhra Chilli Chicken', 'Chicken Pepper Fry', 'Chicken kebab', 'Chicken Ghee Roast', 'Chilli Fish', 'Dal Tadka', 'Dal Makhani', 'Aloo Gobi Masala', 'Kadai Vegetable Masala', 'Vegetable Diwani Handi', 'Palak Paneer', 'Kadai Paneer', 'Egg Masala', 'Butter Chicken', 'Dhaniya Murgh', 'Hyderabadi Chicken Curry', 'Guntur Chicken', 'Mutton Masala', 'Bengali Style Fish Curry', 'Steam Rice', 'Ghee Rice', 'Matar Pulao', 'Curd Rice', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Veg Hakka Noodles', 'Egg Noodles', 'Chicken Hakka Noodles']",Dine-out,Bellandur
"5/3D, Opposite BRS Global School, Kasvanahalli, Sarjapur Road, Bangalore",Lassi Cafe,No,No,3.6,23,Sarjapur Road,Beverage Shop,Beverages,,300,,Dine-out,Bellandur
"75, Opposite St Peters School, Sarjapura Main Road, Sarjapur Road, Bangalore",Hotel Shreekshetra,Yes,No,3.6,10,Sarjapur Road,Quick Bites,North Indian,,300,,Dine-out,Bellandur
"15/2, Pothallappa Garden, 1st Cross Road, Ayappa Garden, Adugodi, Koramangala 7th Block, Bangalore",Bhandary's Kitchen,Yes,No,3.6,16,Koramangala 7th Block,Delivery,North Indian,,300,,Delivery,Brigade Road
"18/1, 8th Main Road, Vasanth Nagar, Bangalore",Sri Ayodhya Veg,Yes,No,3.6,24,Vasanth Nagar,Quick Bites,South Indian,,300,,Delivery,Brigade Road
"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Haldiram's Express,Yes,No,3.6,44,Brigade Road,Kiosk,North Indian,,300,,Dine-out,Brigade Road
"#16, 1st cross road, CSI compound, Near J.C. Road jain college, Opposite Poornima Theatre, Bangalore, Shanti Nagar, Bangalore",The Perfect Stop,No,No,3.6,11,Shanti Nagar,Quick Bites,Italian,,300,,Dine-out,Brigade Road
"174/1-14, Near Bata Showroom, Commercial Street, Bangalore",Bhagatram Sweets,No,No,3.6,221,Commercial Street,Quick Bites,Street Food,"Gulab Jamun, Chaat, Jalebi, Chole, Sev Puri, Rasgulla, Masala Poori",300,,Dine-out,Brigade Road
"21, KK St, Someshwarpura, Ulsoor, Bangalore",Indian Spice Food,Yes,No,3.6,15,Ulsoor,Quick Bites,North Indian,,300,,Dine-out,Brigade Road
"1, Wellington Street, Richmond Road, Bangalore",Koshy's,No,No,3.6,52,Richmond Road,"Bakery, Quick Bites",Bakery,Plum Cake,300,,Dine-out,Brigade Road
"80, G 10 Street, Jogupalya, Ulsoor, Bangalore",Hotel Dil Coorg,Yes,No,3.6,79,Ulsoor,Quick Bites,North Indian,,300,,Dine-out,Brigade Road
